ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Chauna_chavaria_1,Chauna_chavaria,Northern Screamer,Tring,1910.12.22.756,M,Chauna,chavaria,,Y,https://www.markmybird.org/gallery/chauna_chavaria/661,532_SOW,369_Gepwin,363_Peregrin3,43_elliot
Anseranas_semipalmata_2,Anseranas_semipalmata,Magpie Goose,Tring,1925.11.1.525,M,Anseranas,semipalmata,,,https://www.markmybird.org/gallery/anseranas_semipalmata/35,40_chris13,44_Chris,43_elliot,36_zoe
Dendrocygna_arborea_1,Dendrocygna_arborea,West Indian Whistling-duck,Tring,42.12.29.60,U,Dendrocygna,arborea,,,https://www.markmybird.org/gallery/dendrocygna_arborea/159,70_katie,56_hughbrazier,363_Peregrin3,44_Chris
Thalassornis_leuconotus_1,Thalassornis_leuconotus,White-backed Duck,Tring,94.6.16.124,M,Thalassornis,leuconotus,,Y,https://www.markmybird.org/gallery/thalassornis_leuconotus/1471,43_elliot,52_grrlscientist,36_zoe,44_Chris
Nomonyx_dominicus_1,Nomonyx_dominicus,Masked Duck,Tring,1949.58.8,M,Oxyura,dominicus,,Y,https://www.markmybird.org/gallery/nomonyx_dominicus/305,40_chris13,44_Chris,696_RichardParker,43_elliot
Oxyura_jamaicensis_1,Oxyura_jamaicensis,Ruddy Duck,Tring,92.2.1.416,M,Oxyura,jamaicensis,,Y,https://www.markmybird.org/gallery/oxyura_jamaicensis/1122,147_EllenB75,369_Gepwin,44_Chris,43_elliot
Biziura_lobata_2,Biziura_lobata,Musk Duck,Manchester,4545,M,Biziura,lobata,,,https://www.markmybird.org/gallery/biziura_lobata/592,35_Lara,43_elliot,363_Peregrin3,36_zoe
Heteronetta_atricapilla_1,Heteronetta_atricapilla,Black-headed Duck,Tring,71.6.28.2,M,Heteronetta,atricapilla,,Y,https://www.markmybird.org/gallery/heteronetta_atricapilla/228,44_Chris,243_starloverly,43_elliot,36_zoe
Stictonetta_naevosa_1,Stictonetta_naevosa,Freckled Duck,Tring,1895.4.25.7,M,Stictonetta,naevosa,,Y,https://www.markmybird.org/gallery/stictonetta_naevosa/465,56_hughbrazier,480_KateB,363_Peregrin3,43_elliot
Cygnus_melancoryphus_1,Cygnus_melancoryphus,Black-necked Swan,Tring,91.9.9.220,M,Cygnus,melancoryphus,,Y,https://www.markmybird.org/gallery/cygnus_melancoryphus/61,114_tdjames,363_Peregrin3,44_Chris,
Coscoroba_coscoroba_1,Coscoroba_coscoroba,Coscoroba Swan,Tring,71.6.28.40,M,Coscoroba,coscoroba,,Y,https://www.markmybird.org/gallery/coscoroba_coscoroba/1925,52_grrlscientist,36_zoe,40_chris13,44_Chris
Anser_fabalis_1,Anser_fabalis,Bean Goose,Manchester,NA,M,Anser,fabalis,,,https://www.markmybird.org/gallery/anser_fabalis/50,485_oharar,363_Peregrin3,44_Chris,
Chen_caerulescens_2,Chen_caerulescens,Snow Goose,Manchester,7240,M,Chen,caerulescens,,,https://www.markmybird.org/gallery/chen_caerulescens/663,56_hughbrazier,363_Peregrin3,36_zoe,
Branta_bernicla_1,Branta_bernicla,Brent Goose,Manchester,10019,M,Branta,bernicla,,,https://www.markmybird.org/gallery/branta_bernicla/56,43_elliot,56_hughbrazier,36_zoe,44_Chris
Cereopsis_novaehollandiae_1,Cereopsis_novaehollandiae,Cape Barren Goose,Tring,NA,U,Cereopsis,novaehollandiae,,Y,https://www.markmybird.org/gallery/cereopsis_novaehollandiae/105,36_zoe,635_MNeateClegg,43_elliot,44_Chris
Plectropterus_gambensis_1,Plectropterus_gambensis,Spur-winged Goose,Tring,1901.4.17.4,M,Plectropterus,gambensis,gambensis,Y,https://www.markmybird.org/gallery/plectropterus_gambensis/372,480_KateB,485_oharar,43_elliot,
Sarkidiornis_melanotos_1,Sarkidiornis_melanotos,Comb Duck,Manchester,4494,M,Sarkidiornis,melanotos,,,https://www.markmybird.org/gallery/sarkidiornis_melanotos/1392,36_zoe,485_oharar,52_grrlscientist,44_Chris
Tadorna_ferruginea_1,Tadorna_ferruginea,Ruddy Shelduck,Manchester,10033,M,Tadorna,ferruginea,,,https://www.markmybird.org/gallery/tadorna_ferruginea/1454,36_zoe,44_Chris,52_grrlscientist,43_elliot
Malacorhynchus_membranaceus_2,Malacorhynchus_membranaceus,Pink-eared Duck,Tring,1925.11.1.532,M,Malacorhynchus,membranaceus,,Y,https://www.markmybird.org/gallery/malacorhynchus_membranaceus/264,480_KateB,40_chris13,41_Emma,
Alopochen_aegyptiaca_2,Alopochen_aegyptiaca,Egyptian Goose,Manchester,4838,F,Alopochen,aegyptiacus,,,https://www.markmybird.org/gallery/alopochen_aegyptiaca/537,43_elliot,183_ThomasG,44_Chris,
Neochen_jubata_1,Neochen_jubata,Orinoco Goose,Manchester,B133,F,Neochen,jubata,,,https://www.markmybird.org/gallery/neochen_jubata/297,485_oharar,44_Chris,43_elliot,
Chloephaga_melanoptera_1,Chloephaga_melanoptera,Andean Goose,Tring,NA,U,Chloephaga,melanoptera,,,https://www.markmybird.org/gallery/chloephaga_melanoptera/669,56_hughbrazier,40_chris13,36_zoe,
Cyanochen_cyanoptera_1,Cyanochen_cyanoptera,Blue-winged Goose,Tring,1935.1.18.1,M,Cyanochen,cyanoptera,,Y,https://www.markmybird.org/gallery/cyanochen_cyanoptera/740,48_okeeffeml,43_elliot,363_Peregrin3,36_zoe
Hymenolaimus_malacorhynchos_1,Hymenolaimus_malacorhynchos,Blue Duck,Tring,95.3.15.11,U,Hymenolaimus,malacorhynchos,,Y,https://www.markmybird.org/gallery/hymenolaimus_malacorhynchos/234,56_hughbrazier,4_gavin,363_Peregrin3,44_Chris
Merganetta_armata_1,Merganetta_armata,Torrent Duck,Tring,1931.11.23.4,M,Merganetta,armata,colombiana,,https://www.markmybird.org/gallery/merganetta_armata/278,334_Will,485_oharar,363_Peregrin3,43_elliot
Tachyeres_pteneres_1,Tachyeres_pteneres,Flightless Steamerduck,Tring,NA,M,Tachyeres,pteneres,,,https://www.markmybird.org/gallery/tachyeres_pteneres/1453,43_elliot,44_Chris,52_grrlscientist,36_zoe
Pteronetta_hartlaubii_1,Pteronetta_hartlaubii,Hartlaub's Duck,Tring,1920.6.26.6,M,Pteronetta,hartlaubii,,Y,https://www.markmybird.org/gallery/pteronetta_hartlaubii/408,183_ThomasG,43_elliot,363_Peregrin3,44_Chris
